osver,release,arch,date,title,kb,updateID,files,sha1
10,21H2,x64,2025-04,2025-04 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5055682),KB5055682,66ed3c85-6529-4d21-bc7f-4aa0e46e5c5b,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/updt/2025/02/windows10.0-kb5054978-x64-ndp481_90f8e513a76e21cdc5cf4c7ca413acad3fb9585d.msu', 'https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/updt/2025/02/windows10.0-kb5054977-x64-ndp48_619cacc2e7882282c01a0a7f92fbd42c0ca2ef06.msu'],['90f8e513a76e21cdc5cf4c7ca413acad3fb9585d', '619cacc2e7882282c01a0a7f92fbd42c0ca2ef06']
10,22H2,x64,2024-01,2024-01 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5034122),KB5034122,3cbe64a9-cbbd-496d-9035-690404e1d9c7,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/01/windows10.0-kb5034122-x64_de14dfac8817c1d0765b899125c63dc7b581958b.msu'],['de14dfac8817c1d0765b899125c63dc7b581958b']
10,22H2,x64,2024-02,2024-02 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5034763),KB5034763,05e3ff70-1a55-479b-b5f6-470d8ed87ccc,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/02/windows10.0-kb5034763-x64_6521af0cf2b99dc4052def154af986cea1c03415.msu'],['6521af0cf2b99dc4052def154af986cea1c03415']
10,22H2,x64,2024-03,2024-03 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5035845),KB5035845,d6178fd7-2976-42d3-a7ad-fdb17ea2cbb2,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/03/windows10.0-kb5035845-x64_b4c28c9c57c35bac9226cde51685e41c281e40eb.msu'],['b4c28c9c57c35bac9226cde51685e41c281e40eb']
10,22H2,x64,2024-04,2024-04 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5036892),KB5036892,333c5526-580c-42fd-902d-c1938ed28064,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/04/windows10.0-kb5036892-x64_3346840c83d2b0e13df6608bb1a118fdc08af709.msu'],['3346840c83d2b0e13df6608bb1a118fdc08af709']
10,22H2,x64,2024-05,2024-05 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5037768),KB5037768,92a551aa-31ab-4dcf-a259-93338f84b58e,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/05/windows10.0-kb5037768-x64_a627ecbec3d8dad1754d541b7f89d534a6bdec69.msu'],['a627ecbec3d8dad1754d541b7f89d534a6bdec69']
10,22H2,x64,2024-06,2024-06 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5039211),KB5039211,0d03f74f-80ef-4433-9c3d-f4db5ca70f85,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/06/windows10.0-kb5039211-x64_843b4012c177692deb4f9f32bb52f69b925a7c3c.msu'],['843b4012c177692deb4f9f32bb52f69b925a7c3c']
10,22H2,x64,2024-07,2024-07 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5040427),KB5040427,6bf54856-bf31-4c83-8842-2a89694ba057,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/07/windows10.0-kb5040427-x64_750f2819b527034dcdd10be981fa82d140767f8f.msu'],['750f2819b527034dcdd10be981fa82d140767f8f']
10,22H2,x64,2024-08,2024-08 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5041580),KB5041580,c5be226e-6b25-426f-9ad2-c70eb6c52cfc,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/08/windows10.0-kb5041580-x64_b3de56748ec2ba6f57af49e58690585ed0c385ec.msu'],['b3de56748ec2ba6f57af49e58690585ed0c385ec']
10,22H2,x64,2024-09,2024-09 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5043064),KB5043064,538d8a2e-a613-40f1-bef3-99b9a9f851a9,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2024/09/windows10.0-kb5043064-x64_0424c72dcc5ac6d6682f2108afe872ecb8a09394.msu'],['0424c72dcc5ac6d6682f2108afe872ecb8a09394']
10,22H2,x64,2024-10,2024-10 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5044273),KB5044273,cb6c25f1-edf4-4821-95aa-a1249749fc89,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/10/windows10.0-kb5044273-x64_71347fa01079c2b6278a0f48282b8ff3ded2f1e0.msu'],['71347fa01079c2b6278a0f48282b8ff3ded2f1e0']
10,22H2,x64,2024-11,2024-11 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5046613),KB5046613,622a4d47-84e5-4c53-bf74-19a769521699,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/11/windows10.0-kb5046613-x64_f6b774d0bfa6e59ea25a2285b6b822797f84f903.msu'],['f6b774d0bfa6e59ea25a2285b6b822797f84f903']
10,22H2,x64,2024-12,2024-12 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5048652),KB5048652,abfafad8-5378-48df-a64f-deedc7de0f5a,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2024/12/windows10.0-kb5048652-x64_279b3aca56a2aa72aa2d08ccc30fad69bd5a1e29.msu'],['279b3aca56a2aa72aa2d08ccc30fad69bd5a1e29']
10,22H2,x64,2025-01,2025-01 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5049981),KB5049981,3ed5e672-5046-4eb1-9a80-be5175158708,['https://catalog.s.download.windowsupdate.com/d/msdownload/update/software/secu/2025/01/windows10.0-kb5049981-x64_bda073f7d8e14e65c2632b47278924b8a0f6b374.msu'],['bda073f7d8e14e65c2632b47278924b8a0f6b374']
10,22H2,x64,2025-02,2025-02 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5051974),KB5051974,fca774f7-0011-41ce-a62a-dc6537f31881,['https://catalog.s.download.windowsupdate.com/c/msdownload/update/software/secu/2025/02/windows10.0-kb5051974-x64_74aa601c3966a9e1ad4efe6287550c0f0bdea59d.msu'],['74aa601c3966a9e1ad4efe6287550c0f0bdea59d']
